ResourceTag,Account,ServiceName,PredictedCost,Action
Env=Prod,Acct8,AmazonSageMaker,23.75181579589844,Review/Stop
Env=Prod,Acct8,AmazonElastiCache,23.75181579589844,Review/Stop
Env=Test,Acct6,AmazonEBS,28.079736709594727,Review/Stop
Env=Prod,Acct8,AmazonSageMaker,23.75181579589844,Review/Stop
Env=Prod,Acct8,AmazonElastiCache,23.75181579589844,Review/Stop
Env=Prod,Acct12,AmazonRDS,40.94610977172852,Review/Stop
Env=Prod,Acct12,AmazonEBS,28.079736709594727,Review/Stop
Env=Prod,Acct19,AmazonRDS,40.94610977172852,Review/Stop
Env=Backup,Acct20,AmazonEBS,28.079736709594727,Review/Stop
Env=Prod,Acct23,AmazonEBS,28.079736709594727,Review/Stop
Env=Dev,Acct24,AmazonRDS,40.94610977172852,Review/Stop
Env=Prod,Acct29,AmazonEBS,28.079736709594727,Review/Stop
Env=Prod,Acct32,AmazonRDS,40.94610977172852,Review/Stop
Env=Prod,Acct37,AmazonEBS,28.079736709594727,Review/Stop
Env=Test,Acct38,AmazonRDS,40.94610977172852,Review/Stop
Env=Prod,Acct41,AmazonRDS,40.94610977172852,Review/Stop
Env=Archive,Acct44,AmazonRDS,40.94610977172852,Review/Stop
Env=Prod,Acct46,AmazonEBS,28.079736709594727,Review/Stop
Env=Test,Acct48,AmazonRDS,40.94610977172852,Review/Stop
